Title,Authors,Description,Page Count,Genres,Publication Year,Star Score,Rating Count,Reviews Count
Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,"Winner of the Lincoln Prize
Acclaimed historian Doris Kearns Goodwin illuminates Lincoln's political genius in this highly original work, as the one-term congressman and prairie lawyer rises from obscurity to prevail over three gifted rivals of national reputation to become president.
On May 18, 1860, William H. Seward, Salmon P. Chase, Edward Bates, and Abraham Lincoln waited in their hometowns for the results from the Republican National Convention in Chicago. When Lincoln emerged as the victor, his rivals were dismayed and angry.
Throughout the turbulent 1850s, each had energetically sought the presidency as the conflict over slavery was leading inexorably to secession and civil war. That Lincoln succeeded, Goodwin demonstrates, was the result of a character that had been forged by experiences that raised him above his more privileged and accomplished rivals. He won because he possessed an extraordinary ability to put himself in the place of other men, to experience what they were feeling, to understand their motives and desires.
It was this capacity that enabled Lincoln as president to bring his disgruntled opponents together, create the most unusual cabinet in history, and marshal their talents to the task of preserving the Union and winning the war.
We view the long, horrifying struggle from the vantage of the White House as Lincoln copes with incompetent generals, hostile congressmen, and his raucous cabinet. He overcomes these obstacles by winning the respect of his former competitors, and in the case of Seward, finds a loyal and crucial friend to see him through.
This brilliant multiple biography is centered on Lincoln's mastery of men and how it shaped the most significant presidency in the nation's history.",916,"['History', 'Nonfiction', 'Biography', 'Politics', 'American History', 'Civil War', 'Presidents']",2005,4.27,185723,8213
1491: New Revelations of the Americas Before Columbus,Charles C. Mann,"In this groundbreaking work of science, history, and archaeology, Charles C. Mann radically alters our understanding of the Americas before the arrival of Columbus in 1492.
Contrary to what so many Americans learn in school, the pre-Columbian Indians were not sparsely settled in a pristine wilderness; rather, there were huge numbers of Indians who actively molded and influenced the land around them. The astonishing Aztec capital of Tenochtitlan had running water and immaculately clean streets, and was larger than any contemporary European city. Mexican cultures created corn in a specialized breeding process that it has been called man’s first feat of genetic engineering. Indeed, Indians were not living lightly on the land but were landscaping and manipulating their world in ways that we are only now beginning to understand. Challenging and surprising, this a transformative new look at a rich and fascinating world we only thought we knew.",563,"['History', 'Nonfiction', 'American History', 'Anthropology', 'Science', 'Historical', 'World History']",2005,4.05,86323,4828
The River of Doubt: Theodore Roosevelt's Darkest Journey,Candice Millard,"At once an incredible adventure narrative and a penetrating biographical portrait, 
 is the true story of Theodore Roosevelt’s harrowing exploration of one of the most dangerous rivers on earth.
The River of Doubt—it is a black, uncharted tributary of the Amazon that snakes through one of the most treacherous jungles in the world. Indians armed with poison-tipped arrows haunt its shadows; piranhas glide through its waters; boulder-strewn rapids turn the river into a roiling cauldron.
After his humiliating election defeat in 1912, Roosevelt set his sights on the most punishing physical challenge he could find, the first descent of an unmapped, rapids-choked tributary of the Amazon. Together with his son Kermit and Brazil’s most famous explorer, Cândido Mariano da Silva Rondon, Roosevelt accomplished a feat so great that many at the time refused to believe it. In the process, he changed the map of the western hemisphere forever.
Along the way, Roosevelt and his men faced an unbelievable series of hardships, losing their canoes and supplies to punishing whitewater rapids, and enduring starvation, Indian attack, disease, drowning, and a murder within their own ranks. Three men died, and Roosevelt was brought to the brink of suicide. 
The River of Doubt
 brings alive these extraordinary events in a powerful nonfiction narrative thriller that happens to feature one of the most famous Americans who ever lived.
From the soaring beauty of the Amazon rain forest to the darkest night of Theodore Roosevelt’s life, here is Candice Millard’s dazzling debut.",416,"['History', 'Nonfiction', 'Biography', 'Adventure', 'Travel', 'Presidents', 'American History']",2005,4.18,66731,5333
Consider the Lobster and Other Essays,David Foster Wallace,"Do lobsters feel pain? Did Franz Kafka have a funny bone? What is John Updike's deal, anyway? And what happens when adult video starlets meet their fans in person? David Foster Wallace answers these questions and more in essays that are also enthralling narrative adventures. Whether covering the three-ring circus of a vicious presidential race, plunging into the wars between dictionary writers, or confronting the World's Largest Lobster Cooker at the annual Maine Lobster Festival, Wallace projects a quality of thought that is uniquely his and a voice as powerful and distinct as any in American letters.
Contains: ""Big Red Son,"" ""Certainly the End of Something or Other, One Would Sort of Have to Think,"" ""Some Remarks on Kafka's Funniness from Which Probably Not Enough Has Been Removed,"" ""Authority and American Usage,"" ""The View from Mrs. Thompson's,"" ""How Tracy Austin Broke My Heart,"" ""Up, Simba,"" ""Consider the Lobster,"" ""Joseph Frank's Dostoevsky"" and ""Host.""",343,"['Nonfiction', 'Essays', 'Philosophy', 'Humor', 'Short Stories', 'Literature', 'American']",2005,4.18,49479,3544
A Year in the Life of William Shakespeare: 1599,James Shapiro,"1599 was an epochal year for Shakespeare and England 
 Shakespeare wrote four of his most famous plays: 
, 
Julius Caesar
, 
As You Like It
, and, most remarkably, 
Hamlet
; Elizabethans sent off an army to crush an Irish rebellion, weathered an Armada threat from Spain, gambled on a fledgling East India Company, and waited to see who would succeed their aging and childless queen. 
 James Shapiro illuminates both Shakespeare’s staggering achievement and what Elizabethans experienced in the course of 1599, bringing together the news and the intrigue of the times with a wonderful evocation of how Shakespeare worked as an actor, businessman, and playwright. The result is an exceptionally immediate and gripping account of an inspiring moment in history.",333,"['History', 'Nonfiction', 'Biography', 'Theatre', 'Literary Criticism', 'British Literature', 'Literature']",2005,4.09,3900,449
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,"Which is more dangerous, a gun or a swimming pool? What do schoolteachers and sumo wrestlers have in common? Why do drug dealers still live with their moms? How much do parents really matter? What kind of impact did Roe v. Wade have on violent crime? Freakonomics will literally redefine the way we view the modern world.
These may not sound like typical questions for an economist to ask. But Steven D. Levitt is not a typical economist. He is a much heralded scholar who studies the stuff and riddles of everyday life -- from cheating and crime to sports and child rearing -- and whose conclusions regularly turn the conventional wisdom on its head. He usually begins with a mountain of data and a simple, unasked question. Some of these questions concern life-and-death issues; others have an admittedly freakish quality. Thus the new field of study contained in this book: freakonomics.
Through forceful storytelling and wry insight, Levitt and co-author Stephen J. Dubner show that economics is, at root, the study of incentives -- how people get what they want, or need, especially when other people want or need the same thing. In Freakonomics, they set out to explore the hidden side of ... well, everything. The inner workings of a crack gang. The truth about real-estate agents. The myths of campaign finance. The telltale marks of a cheating schoolteacher. The secrets of the Ku Klux Klan.
What unites all these stories is a belief that the modern world, despite a surfeit of obfuscation, complication, and downright deceit, is not impenetrable, is not unknowable, and -- if the right questions are asked -- is even more intriguing than we think. All it takes is a new way of looking. Steven Levitt, through devilishly clever and clear-eyed thinking, shows how to see through all the clutter.
Freakonomics establishes this unconventional premise: If morality represents how we would like the world to work, then economics represents how it actually does work. It is true that readers of this book will be armed with enough riddles and stories to last a thousand cocktail parties. But Freakonomics can provide more than that. It will literally redefine the way we view the modern world.
(front flap)",268,"['Nonfiction', 'Economics', 'Business', 'Science', 'Psychology', 'Sociology', 'Finance']",2005,4.01,846386,19075
The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,"What should we have for dinner?
 For omnivore like ourselves, this simple question has always posed a dilemma. When you can eat just about anything nature (or the supermarket) has to offer, deciding what you 
 eat will inevitably stir anxiety, especially when some of the foods on offer might shorten your life. Today, buffered by one food fad after another, America is suffering from what can only be described as a national eating disorder. The omnivore’s dilemma has returned with a vengeance, as the cornucopia of the modern American supermarket and fast-food outlet confronts us with a bewildering and treacherous food landscape. What’s at stake in our eating choices is not only our own and our children’s health, but the health of the environment that sustains life on earth.
The Omnivore's Dilemma
 is groundbreaking book, in which one of America’s most fascinating, original, and elegant writers turns his own omnivorous mind to the seemingly straightforward question of what we should have for dinner. The question has confronted us since man discovered fire, but according to Michael Pollan, the bestselling author of 
The Botany of Desire
, how we answer it today, at the dawn of the twenty-first century, may well determine our very survival as a species. Should we eat a fast-food hamburger? Something organic? Or perhaps something we hunt, gather, or grow ourselves? 
To find out, Pollan follows each of the food chains that sustain us—industrial food, organic or alternative food, and food we forage ourselves—from the source to a final meal, and in the process develops a definitive account of the American way of eating. His absorbing narrative takes us from Iowa cornfields to food-science laboratories, from feedlots and fast-food restaurants to organic farms and hunting grounds, always emphasizing our dynamic coevolutionary relationship with the handful of plant and animal species we depend on. Each time Pollan sits down to a meal, he deploys his unique blend of personal and investigative journalism to trace the origins of everything consumed, revealing what we unwittingly ingest and explaining how our taste for particular foods and flavors reflects our evolutionary inheritance.
The surprising answers Pollan offers to the simple question posed by this book have profound political, economic, psychological, and even moral implications for all of us. Ultimately, this is a book as much about visionary solutions as it is about problems, and Pollan contends that, when it comes to food, doing the right thing often turns out to be the tastiest thing an eater can do. Beautifully written and thrillingly argued, 
The Omnivore’s Dilemma
 promises to change the way we think about the politics and pleasure of eating. For anyone who reads it, dinner will never again look, or taste, quite the same.",450,"['Nonfiction', 'Food', 'Science', 'Health', 'History', 'Nutrition', 'Environment']",2006,4.18,203552,14100
Fun Home: A Family Tragicomic,Alison Bechdel,"In this graphic memoir, Alison Bechdel charts her fraught relationship with her late father.
Distant and exacting, Bruce Bechdel was an English teacher and director of the town funeral home, which Alison and her family referred to as the 
 It was not until college that Alison, who had recently come out as a lesbian, discovered that her father was also gay. A few weeks after this revelation, he was dead, leaving a legacy of mystery for his daughter to resolve.",232,"['Graphic Novels', 'Memoir', 'Comics', 'Nonfiction', 'LGBT', 'Queer', 'Biography']",2006,4.08,178884,12701
The Blind Side,Michael   Lewis,"When we first meet Michael Oher, he is one of thirteen children by a mother addicted to crack; he does not know his real name, his father, his birthday, or how to read or write. He takes up football and school after a rich, white, Evangelical family plucks him from the streets. Then two great forces alter Oher: the family's love and the evolution of professional football itself into a game in which the quarterback must be protected at any cost. Our protagonist becomes the priceless package of size, speed, and agility necessary to guard the quarterback's greatest vulnerability: his blind side.",339,"['Sports', 'Nonfiction', 'Biography', 'Football', 'Biography Memoir', 'Business', 'Memoir']",2006,4.17,95759,4206
My Life in France,Julia Child,"The bestselling story of Julia's years in France--and the basis for 
, starring Meryl Streep and Amy Adams--in her own words.
 Although she would later singlehandedly create a new approach to American cuisine with her cookbook 
Mastering the Art of French Cooking
 and her television show 
The French Chef
, Julia Child was not always a master chef. Indeed, when she first arrived in France in 1948 with her husband, Paul, who was to work for the USIS, she spoke no French and knew nothing about the country itself. But as she dove into French culture, buying food at local markets and taking classes at the Cordon Bleu, her life changed forever with her newfound passion for cooking and teaching. Julia's unforgettable story--struggles with the head of the Cordon Bleu, rejections from publishers to whom she sent her now-famous cookbook, a wonderful, nearly fifty-year long marriage that took the Childs across the globe--unfolds with the spirit so key to Julia's success as a chef and a writer, brilliantly capturing one of America's most endearing personalities.",336,"['Nonfiction', 'Memoir', 'Food', 'Biography', 'France', 'Travel', 'Cooking']",2006,4.16,89526,8208
The Looming Tower: Al-Qaeda and the Road to 9/11,Lawrence Wright,"A sweeping narrative history of the events leading to 9/11, a groundbreaking look at the people and ideas, the terrorist plans and the Western intelligence failures that culminated in the assault on America. Lawrence Wright's remarkable book is based on five years of research and hundreds of interviews that he conducted in Egypt, Saudi Arabia, Pakistan, Afghanistan, Sudan, England, France, Germany, Spain, and the United States.
 achieves an unprecedented level of intimacy and insight by telling the story through the interweaving lives of four men: the two leaders of al-Qaeda, Osama bin Laden and Ayman al-Zawahiri; the FBI's counterterrorism chief, John O'Neill; and the former head of Saudi intelligence, Prince Turki al-Faisal.
As these lives unfold, we see revealed: the crosscurrents of modern Islam that helped to radicalize Zawahiri and bin Laden . . . the birth of al-Qaeda and its unsteady development into an organization capable of the American embassy bombings in Kenya and Tanzania and the attack on the USS
 Cole
 . . . O'Neill's heroic efforts to track al-Qaeda before 9/11, and his tragic death in the World Trade towers . . . Prince Turki's transformation from bin Laden's ally to his enemy . . . the failures of the FBI, CIA, and NSA to share intelligence that might have prevented the 9/11 attacks.
The Looming Tower
 broadens and deepens our knowledge of these signal events by taking us behind the scenes. Here is Sayyid Qutb, founder of the modern Islamist movement, lonely and despairing as he meets Western culture up close in 1940s America; the privileged childhoods of bin Laden and Zawahiri; family life in the al-Qaeda compounds of Sudan and Afghanistan; O'Neill's high-wire act in balancing his all-consuming career with his equally entangling personal life--he was living with three women, each of them unaware of the others' existence--and the nitty-gritty of turf battles among U.S. intelligence agencies.
Brilliantly conceived and written, 
The Looming Tower
 draws all elements of the story into a galvanizing narrative that adds immeasurably to our understanding of how we arrived at September 11, 2001. The richness of its new information, and the depth of its perceptions, can help us deal more wisely and effectively with the continuing terrorist threat.",469,"['History', 'Nonfiction', 'Politics', 'Terrorism', 'War', 'Religion', 'American History']",2006,4.35,32403,2834
The Worst Hard Time: The Untold Story of Those Who Survived the Great American Dust Bowl,Timothy Egan,"The dust storms that terrorized the High Plains in the darkest years of the Depression were like nothing ever seen before or since. Timothy Egan’s critically acclaimed account rescues this iconic chapter of American history from the shadows in a tour de force of historical reportage. Following a dozen families and their communities through the rise and fall of the region, Egan tells of their desperate attempts to carry on through blinding black dust blizzards, crop failure, and the death of loved ones. Brilliantly capturing the terrifying drama of catastrophe, Egan does equal justice to the human characters who become his heroes, “the stoic, long-suffering men and women whose lives he opens up with urgency and respect” (New York Times).
In an era that promises ever-greater natural disasters, The Worst Hard Time is “arguably the best nonfiction book yet” (Austin Statesman Journal) on the greatest environmental disaster ever to be visited upon our land and a powerful cautionary tale about the dangers of trifling with nature.",340,"['History', 'Nonfiction', 'American History', 'Historical', 'Audiobook', 'Environment', 'Nature']",2005,4.05,55114,5827
"Animal, Vegetable, Miracle: A Year of Food Life",Barbara Kingsolver,"Author Barbara Kingsolver and her family abandoned the industrial-food pipeline to live a rural life—vowing that, for one year, they'd only buy food raised in their own neighborhood, grow it themselves, or learn to live without it. Part memoir, part journalistic investigation, 
 is an enthralling narrative that will open your eyes in a hundred new ways to an old truth: You are what you eat.",383,"['Nonfiction', 'Food', 'Memoir', 'Gardening', 'Health', 'Environment', 'Nature']",2007,4.05,110046,11328
A Long Way Gone: Memoirs of a Boy Soldier,Ishmael Beah,"The devastating story of war through the eyes of a child soldier. Beah tells how, at the age of twelve, he fled attacking rebels and wandered a land rendered unrecognizable by violence. By thirteen, he’d been picked up by the government army, and became a soldier.
My new friends have begun to suspect I haven’t told them the full story of my life.
“Why did you leave Sierra Leone?”
“Because there is a war.”
“You mean, you saw people running around with guns and shooting each other?”
“Yes, all the time.”
“Cool.”
I smile a little.
“You should tell us about it sometime.”
“Yes, sometime.” 
This is how wars are fought now: by children, hopped-up on drugs and wielding AK-47s. Children have become soldiers of choice. In the more than fifty conflicts going on worldwide, it is estimated that there are some 300,000 child soldiers. Ishmael Beah used to be one of them. 
What is war like through the eyes of a child soldier? How does one become a killer? How does one stop? Child soldiers have been profiled by journalists, and novelists have struggled to imagine their lives. But until now, there has not been a first-person account from someone who came through this hell and survived.
In A Long Way Gone, Beah, now twenty-five years old, tells a riveting story: how at the age of twelve, he fled attacking rebels and wandered a land rendered unrecognizable by violence. By thirteen, he’d been picked up by the government army, and Beah, at heart a gentle boy, found that he was capable of truly terrible acts. 
This is a rare and mesmerizing account, told with real literary force and heartbreaking honesty.",229,"['Nonfiction', 'Memoir', 'Africa', 'Biography', 'War', 'History', 'Biography Memoir']",2007,4.16,186268,11964
Einstein: His Life and Universe,Walter Isaacson,"Einstein was a rebel and nonconformist from boyhood days, and these character traits drove both his life and his science. In this narrative, Walter Isaacson explains how his mind worked and the mysteries of the universe that he discovered.",675,"['Biography', 'Nonfiction', 'Science', 'History', 'Physics', 'Biography Memoir', 'Audiobook']",2007,4.16,184342,4416
"Whatever You Do, Don't Run: True Tales Of A Botswana Safari Guide",Peter Allison,"A hilarious, highly original collection of essays based on the Botswana truism: “
”
In the tradition of Bill Bryson, a new writer brings us the lively adventures and biting wit of an African safari guide. Peter Allison gives us the guide’s-eye view of living in the bush, confronting the world’s fiercest terrain of wild animals and, most challenging of all, managing herds of gaping tourists. Passionate for the animals of the Kalahari, Allison works as a top safari guide in the wildlife-rich Okavango Delta. As he serves the whims of his wealthy clients, he often has to stop the impulse to run as far away from them as he can, as these tourists are sometimes more dangerous than a pride of lions. 
No one could make up these outrageous-but-true tales: the young woman who rejected the recommended safari-friendly khaki to wear a more “fashionable” hot pink ensemble; the lost tourist who happened to be drunk, half-naked, and a member of the British royal family; establishing a real friendship with the continent’s most vicious animal; the Japanese tourist who requested a repeat performance of Allison’s being charged by a lion so he could videotape it; and spending a crazy night in the wild after blowing a tire on a tour bus, revealing that Allison has as much good-natured scorn for himself. 
The author’s humor is exceeded only by his love and respect for the animals, and his goal is to limit any negative exposure to humans by planning trips that are minimally invasive—unfortunately it doesn’t always work out that way! 
Peter Allison is originally from Sydney, Australia. His safaris have been featured in National Geographic, Conde Nast Traveler, and on television programs such as Jack Hanna's Animal Adventures. He travels frequently to speaking appearances, and splits most of his time between Botswana, Sydney, and San Francisco.",246,"['Nonfiction', 'Travel', 'Africa', 'Memoir', 'Animals', 'Humor', 'Adventure']",2016,4.02,10734,1062
The Last Lecture,Randy Pausch,"A lot of professors give talks titled 'The Last Lecture'. Professors are asked to consider their demise and to ruminate on what matters most to them: What wisdom would we impart to the world if we knew it was our last chance? If we had to vanish tomorrow, what would we want as our legacy?
When Randy Pausch, a computer science professor at Carnegie Mellon, was asked to give such a lecture, he didn't have to imagine it as his last, since he had recently been diagnosed with terminal cancer. But the lecture he gave, 'Really Achieving Your Childhood Dreams', wasn't about dying. It was about the importance of overcoming obstacles, of enabling the dreams of others, of seizing every moment (because time is all you have and you may find one day that you have less than you think). It was a summation of everything Randy had come to believe. It was about living.
In this book, Randy Pausch has combined the humour, inspiration, and intelligence that made his lecture such a phenomenon and given it an indelible form. It is a book that will be shared for generations to come.",206,"['Nonfiction', 'Memoir', 'Biography', 'Self Help', 'Inspirational', 'Philosophy', 'Autobiography']",2008,4.26,343287,19476
When You Are Engulfed in Flames,David Sedaris,"It's early autumn 1964. Two straight-A students head off to school, and when only one of them returns home Chesney Yelverton is coaxed from retirement and assigned to what proves to be the most difficult and deadly - case of his career. From the shining notorious East Side, 
 confirms once again that David Sedaris is a master of mystery and suspense.
Or how about...
when set on fire, most of us either fumble for our wallets or waste valuable time feeling sorry for ourselves. David Sedaris has studied this phenomenon, and his resulting insights may very well save your life. Author of the national bestsellers 
Should You Be Attacked By Snakes
 and 
If You Are Surrounded by Mean Ghosts
, David Sedaris, with 
When You Are Engulfed in Flames
, is clearly at the top of his game.
Oh, all right...
David Sedaris has written yet another book of essays (his sixth). Subjects include a parasitic worm that once lived in his mother-in-law's leg, an encounter with a dingo, and the recreational use of an external catheter. Also recounted is the buying of a human skeleton and the author's attempt to quit smoking In Tokyo.
Master of nothing, at the dead center of his game, Sedaris proves that when you play with matches, you sometimes light the whole pack on fire.
(front flap)",323,"['Humor', 'Nonfiction', 'Memoir', 'Essays', 'Short Stories', 'Audiobook', 'Comedy']",2008,4.07,208370,10457
In Defense of Food: An Eater's Manifesto,Michael Pollan,"Michael Pollan's last book, 
, launched a national conversation about the American way of eating; now 
In Defense of Food
 shows us how to change it, one meal at a time. Pollan proposes a new answer to the question of what we should eat that comes down to seven simple but liberating words: 
Eat food. Not too much. Mostly plants
. Pollan's bracing and eloquent manifesto shows us how we can start making thoughtful food choices that will enrich our lives, enlarge our sense of what it means to be healthy, and bring pleasure back to eating.,,,",205,"['Nonfiction', 'Food', 'Health', 'Science', 'Nutrition', 'Audiobook', 'Cooking']",2008,4.07,115692,8650
Outliers: The Story of Success,Malcolm Gladwell,"Learn what sets high achievers apart — from Bill Gates to the Beatles — in this #1 bestseller from ""a singular talent"" (
).
In this stunning book, Malcolm Gladwell takes us on an intellectual journey through the world of ""outliers""—the best and the brightest, the most famous and the most successful. He asks the question: what makes high-achievers different?
His answer is that we pay too much attention to what successful people are like, and too little attention to where they are from: that is, their culture, their family, their generation, and the idiosyncratic experiences of their upbringing. Along the way he explains the secrets of software billionaires, what it takes to be a great soccer player, why Asians are good at math, and what made the Beatles the greatest rock band.
Brilliant and entertaining, 
Outliers
 is a landmark work that will simultaneously delight and illuminate.",309,"['Nonfiction', 'Psychology', 'Business', 'Self Help', 'Sociology', 'Science', 'Audiobook']",2008,4.19,777126,32257
"Such a Pretty Fat: One Narcissist's Quest to Discover If Her Life Makes Her Ass Look Big, or Why Pie Is Not the Answer",Jen Lancaster,"""To whom the fat rolls…I'm tired of books where a self-loathing heroine is teased to the point where she starves herself skinny in hopes of a fabulous new life. And I hate the message that women can't possibly be happy until we all fit into our skinny jeans. I don't find these stories uplifting; they make me want to hug these women and take them out for fizzy champagne drinks and cheesecake and explain to them that until they figure out their insides, their outsides don't matter. Unfortunately, being overweight isn't simply a societal issue that can be fixed with a dose healthy of positive self-esteem. It’s a health matter, and here on the eve of my fortieth year, I've learned I have to make changes so I don't, you know, die. Because what good is finally being able to afford a pedicure if I lose a foot to adult onset diabetes?""",400,"['Nonfiction', 'Memoir', 'Humor', 'Chick Lit', 'Biography', 'Biography Memoir', 'Comedy']",2008,4.04,29733,1999
"Human Smoke: The Beginnings of World War II, The End of Civilization",Nicholson Baker,"At a time when the West seems ever more eager to call on military aggression as a means of securing international peace, Nicholson Baker's provocative narrative exploring the political misjudgements and personal biases that gave birth to the terrifying consequences of the Second World War could not be more pertinent.
With original and controversial insights brought about by meticulous research, Human Smoke re-evaluates the political turning points that led up to war and in so doing challenges some of the treasured myths we hold about how war came about and how atrocities like the Holocaust were able to happen. Baker reminds us, for instance, not to forget that it was thanks in great part to Churchill and England that Mussolini ascended to power so quickly, and that, before leading the United States against Nazi Germany, a young FDR spent much of his time lobbying for a restriction in the number of Jews admitted to Harvard. Conversely, Human Smoke also reminds us of those who had the foresight to anticipate the coming bloodshed and the courage to oppose the tide of history, as Gandhi demonstrated when he made his symbolic walk to the ocean -- for which he was immediately imprisoned by the British.
Praised by critics and readers alike for his gifted writing and exquisitely observant eye, Baker offers a combination of sweeping narrative history and a series of finely delineated vignettes of the individuals and moments that shaped history that is guaranteed to spark new dialogue on the subject.",576,"['History', 'Nonfiction', 'War', 'World War II', 'Politics', 'Holocaust', 'Military History']",2008,4.04,1925,333
Columbine,Dave Cullen,"""The tragedies keep coming. As we reel from the latest horror . . . "" So begins a new epilogue, illustrating how Columbine became the template for nearly two decades of ""spectacle murders."" It is a false script, seized upon by a generation of new killers. In the wake of Newtown, Aurora, and Virginia Tech, the imperative to understand the crime that sparked this plague grows more urgent every year.
What really happened April 20, 1999? The horror left an indelible stamp on the American psyche, but most of what we ""know"" is wrong. It wasn't about jocks, Goths, or the Trench Coat Mafia. Dave Cullen was one of the first reporters on scene, and spent ten years on this book-widely recognized as the definitive account. With a keen investigative eye and psychological acumen, he draws on mountains of evidence, insight from the world's leading forensic psychologists, and the killers' own words and drawings-several reproduced in a new appendix. Cullen paints raw portraits of two polar opposite killers. They contrast starkly with the flashes of resilience and redemption among the survivors.",417,"['Nonfiction', 'True Crime', 'History', 'Crime', 'Audiobook', 'Psychology', 'Journalism']",2009,4.29,91034,9971
Half Broke Horses,Jeannette Walls,"Jeannette Walls's memoir The Glass Castle was ""nothing short of spectacular"" (Entertainment Weekly). Now, in Half Broke Horses, she brings us the story of her grandmother, told in a first-person voice that is authentic, irresistible, and triumphant. 
""Those old cows knew trouble was coming before we did."" So begins the story of Lily Casey Smith, Jeannette Walls's no nonsense, resourceful, and spectacularly compelling grandmother. By age six, Lily was helping her father break horses. At fifteen, she left home to teach in a frontier town -- riding five hundred miles on her pony, alone, to get to her job. She learned to drive a car (""I loved cars even more than I loved horses. They didn't need to be fed if they weren't working, and they didn't leave big piles of manure all over the place"") and fly a plane. And, with her husband Jim, she ran a vast ranch in Arizona. She raised two children, one of whom is Jeannette's memorable mother, Rosemary Smith Walls, unforgettably portrayed in The Glass Castle. 
Lily survived tornadoes, droughts, floods, the Great Depression, and the most heartbreaking personal tragedy. She bristled at prejudice of all kinds -- against women, Native Americans, and anyone else who didn't fit the mold. Rosemary Smith Walls always told Jeannette that she was like her grandmother, and in this true-life novel, Jeannette Walls channels that kindred spirit. Half Broke Horses is Laura Ingalls Wilder for adults, as riveting and dramatic as Isak Dinesen's Out of Africa or Beryl Markham's West with the Night. Destined to become a classic, it will transfix audiences everywhere.",272,"['Memoir', 'Nonfiction', 'Biography', 'Book Club', 'Biography Memoir', 'Historical', 'Adult']",2008,4.08,162644,12730
Zeitoun,Dave Eggers,"The true story of one family, caught between America’s two biggest policy disasters: the war on terror and the response to Hurricane Katrina. 
Abdulrahman and Kathy Zeitoun run a house-painting business in New Orleans. In August of 2005, as Hurricane Katrina approaches, Kathy evacuates with their four young children, leaving Zeitoun to watch over the business. In the days following the storm he travels the city by canoe, feeding abandoned animals and helping elderly neighbors. Then, on September 6th, police officers armed with M-16s arrest Zeitoun in his home. Told with eloquence and compassion, Zeitoun is a riveting account of one family’s unthinkable struggle with forces beyond wind and water.",342,"['Nonfiction', 'Biography', 'History', 'Memoir', 'Biography Memoir', 'Book Club', 'Politics']",2009,4.05,78157,8051
Stitches: A Memoir,David Small,"Finalist for the 2009 National Book Award and finalist for two 2010 Will Eisner Comic Industry Awards: the prize-winning children’s author depicts a childhood from hell in this searing yet redemptive graphic memoir.
One day David Small awoke from a supposedly harmless operation to discover that he had been transformed into a virtual mute. A vocal cord removed, his throat slashed and stitched together like a bloody boot, the fourteen-year-old boy had not been told that he had cancer and was expected to die.
In Stitches, Small, the award-winning children’s illustrator and author, re-creates this terrifying event in a life story that might have been imagined by Kafka. As the images painfully tumble out, one by one, we gain a ringside seat at a gothic family drama where David―a highly anxious yet supremely talented child―all too often became the unwitting object of his parents’ buried frustration and rage.
Believing that they were trying to do their best, David’s parents did just the reverse. Edward Small, a Detroit physician, who vented his own anger by hitting a punching bag, was convinced that he could cure his young son’s respiratory problems with heavy doses of radiation, possibly causing David’s cancer. Elizabeth, David’s mother, tyrannically stingy and excessively scolding, ran the Small household under a cone of silence where emotions, especially her own, were hidden.
Depicting this coming-of-age story with dazzling, kaleidoscopic images that turn nightmare into fairy tale, Small tells us of his journey from sickly child to cancer patient, to the troubled teen whose risky decision to run away from home at sixteen―with nothing more than the dream of becoming an artist―will resonate as the ultimate survival statement.
A silent movie masquerading as a book, Stitches renders a broken world suddenly seamless and beautiful again. Finalist for the 2009 National Book Award (Young Adult); finalist for two 2010 Will Eisner Comic Industry Awards (Best Writer/Artist: Nonfiction; Best Reality-Based Work).",329,"['Graphic Novels', 'Memoir', 'Nonfiction', 'Biography', 'Graphic Novels Comics', 'Adult', 'Biography Memoir']",2009,4.06,26724,3371
